index,Location,Area,Country,coords,latitude,longitude
4115.0,"Oceanic Pier, Wrightsville Beach, New Hanover County",North Carolina,USA,"(34.2085036, -77.7963709)",34.2085036,34.2085036
4122.0,"South Jacksonville Beach, Duval County",Florida,USA,"(30.2841224, -81.3961338)",30.2841224,30.2841224
4123.0,"Kanaha Beach, Maui",Hawaii,USA,"(20.9026526, -156.4375223)",20.9026526,20.9026526
4124.0,"Bouges Bank, Emerald Isle, Carteret County",North Carolina,USA,"(34.6779399, -76.95077619999999)",34.6779399,34.6779399
4126.0,"Boca Ciega Bay, Tampa, Pinellas County",Florida,USA,"(27.7926967, -82.7657265)",27.7926967,27.7926967
4135.0,"Sebastian Inlet, Indian River or Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4142.0,"Mavericks, Half Moon Bay, San Mateo County",California,USA,"(37.5127433, -122.4964562)",37.5127433,37.5127433
4147.0,"South Beach, Sebastian, Indian River County",Florida,USA,"(27.80716, -80.4724473)",27.80716,27.80716
4151.0,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",California,USA,"(40.8020712, -124.1636729)",40.8020712,40.8020712
4154.0,"Vaughn Beach, Flagler County",Florida,USA,"(29.4713179, -81.2098826)",29.4713179,29.4713179
4175.0,"Coral Cove Park, Jupiter Island, Martin County",Florida,USA,"(27.0314437, -80.1014311)",27.0314437,27.0314437
4179.0,"Bethune Beach, south of New Smyrna Beach, Volusia County",Florida,USA,"(28.9032104, -80.8115369)",28.9032104,28.9032104
4184.0,"New Smyrna Beach / Waveland, Volusia County",Florida,USA,"(29.0279842, -81.0754657)",29.0279842,29.0279842
4186.0,"New Smyrna Beach / Waveland, Volusia County",Florida,USA,"(29.0279842, -81.0754657)",29.0279842,29.0279842
4190.0,"Waveland Beach, Hutchinson Island, St Lucie County",Florida,USA,"(27.275367, -80.20625000000001)",27.275367,27.275367
4201.0,"Coligny Beach, Hilton Head, Beaufort County",South Carolina,USA,"(32.1411347, -80.75191389999999)",32.1411347,32.1411347
4203.0,"Off 21st Avenue, Isle of Palms, Charleston County",South Carolina,USA,"(32.7929804, -79.7854978)",32.7929804,32.7929804
4212.0,"Santa Rosa Island, Escambia County",Florida,USA,"(30.3978561, -86.7290634)",30.3978561,30.3978561
4215.0,"Taverniier, Monroe County",Florida,USA,"(25.0115186, -80.51506080000001)",25.0115186,25.0115186
4219.0,"Near 70th Avenue, Myrtle Beach, Horry County",South Carolina,USA,"(33.7410753, -78.8227126)",33.7410753,33.7410753
4233.0,"Coquina Beach, Anna Maria Island, Manatee County",Florida,USA,"(27.451142, -82.69221499999999)",27.451142,27.451142
4235.0,"Sandbridge Beach, Princess Anne County",Virginia,USA,"(37.4315734, -78.6568942)",37.4315734,37.4315734
4236.0,"Mayport Naval Station, Jacksonville, Duval Country",Florida,USA,"(30.3881464, -81.40827039999999)",30.3881464,30.3881464
4237.0,"Avon, Hatteras Island, Outer Banks, Dare County",North Carolina,USA,"(35.5584932, -75.4665158)",35.5584932,35.5584932
4238.0,"Avon, Hatteras Island, Outer Banks, Dare County",North Carolina,USA,"(35.5584932, -75.4665158)",35.5584932,35.5584932
4244.0,A quarter mile north of Fort Pierce Inlet,Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
4245.0,"2 miles off Pompano Beach, Broward County",Florida,USA,"(26.2136852, -80.1255827)",26.2136852,26.2136852
4268.0,"Deerfield Beach (near Boca Raton), Broward County",Florida,USA,"(26.317011, -80.12235299999999)",26.317011,26.317011
4272.0,"Brenecke Beach, Po'ipu, Kaua'i",Hawaii,USA,"(21.8762603, -159.4537791)",21.8762603,21.8762603
4283.0,"Ten Thousand Islands National Wildlife Refuge, Collier County",Florida,USA,"(25.8512224, -81.539495)",25.8512224,25.8512224
4287.0,"a pier at the end of Caxambas Drive, Marco Island ",Florida,USA,"(25.914397, -81.694981)",25.914397,25.914397
4288.0,"St. George Island (near Apachicola), Franklin County",Florida,USA,"(29.65888899999999, -84.87777799999999)",29.65888899999999,29.65888899999999
4292.0,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.0599541, -80.9526133)",29.0599541,29.0599541
4302.0,"100 miles off Ocean City, Maryland, in 7000' of water",Maryland,USA,"(39.0457549, -76.64127119999999)",39.0457549,39.0457549
4303.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4311.0,"Gulf of Mexico, 65 miles offshore from Mobile",Alabama,USA,"(30.6964406, -88.1803557)",30.6964406,30.6964406
4312.0,"Kewalo Basin Channel, O'ahu",Hawaii,USA,"(21.4389123, -158.0000565)",21.4389123,21.4389123
4314.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4323.0,"Sebastian Inlet, Brevard County",Florida,USA,"(27.862551, -80.4484896)",27.862551,27.862551
4328.0,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Florida,USA,"(28.3922182, -80.60771319999999)",28.3922182,28.3922182
4333.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4352.0,"Petting Tank, Florida Aquarium, Tampa",Florida,USA,"(27.950575, -82.4571776)",27.950575,27.950575
4357.0,"North Beach, Patrick AFB, Brevard County",Florida,USA,"(28.2830792, -80.60798969999999)",28.2830792,28.2830792
4360.0,"Sunglow Pier, Daytona Beach Shores, Volusia County",Florida,USA,"(29.1760933, -80.9828323)",29.1760933,29.1760933
4362.0,"Shepard Park, Cocoa Beach, Brevard County ",Florida,USA,"(28.3579498, -80.6053429)",28.3579498,28.3579498
4371.0,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
4373.0,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Florida,USA,"(26.6514503, -80.2767327)",26.6514503,26.6514503
4388.0,"Near New Smyrna Jetty, Volusia County",Florida,USA,"(29.0279842, -81.0754657)",29.0279842,29.0279842
4391.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4396.0,1.5 miles off Surfside ,Texas,USA,"(29.0252044, -95.40866229999999)",29.0252044,29.0252044
4401.0,"Bathtub Reef Beach, Martin County",Florida,USA,"(27.0804935, -80.4103957)",27.0804935,27.0804935
4405.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4406.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4407.0,"North Hutchinson Island, St. Lucie Couny",Florida,USA,"(27.6503152, -80.363081)",27.6503152,27.6503152
4409.0,"Cove Beach / Kalama Beach, Kihei, Maui",Hawaii,USA,"(20.7644275, -156.4450063)",20.7644275,20.7644275
4410.0,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4411.0,"South Jetty, New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4412.0,"Stuart Park Beach, Martin County",Florida,USA,"(27.0804935, -80.4103957)",27.0804935,27.0804935
4413.0,"Ocean Reef Park, Singer Island, Palm Beach County",Florida,USA,"(26.7850625, -80.03754080000002)",26.7850625,26.7850625
4415.0,Near Patrick Air Force Base Brevard County,Florida,USA,"(28.2394645, -80.60751719999999)",28.2394645,28.2394645
4418.0,"Tunnels surf break off Makua Beach, Kaua'i",Hawaii,USA,"(22.2237989, -159.5609436)",22.2237989,22.2237989
4425.0,"South Jetty, New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4461.0,"Stuart Rocks, Martin County",Florida,USA,"(27.0804935, -80.4103957)",27.0804935,27.0804935
4462.0,"Ocean Reef Park, Singer Island, Palm Beach County",Florida,USA,"(26.7850625, -80.03754080000002)",26.7850625,26.7850625
4463.0,Velzyland,Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
4465.0,"Kahana Beach, Maui",Hawaii,USA,"(20.9766667, -156.6825)",20.9766667,20.9766667
4471.0,Channel between South Padre Island & Padre Island National Seashore,Texas,USA,"(31.9685988, -99.9018131)",31.9685988,31.9685988
4479.0,"Pirate's Beach, Galveston Island",Texas,USA,"(29.241005, -94.90913289999999)",29.241005,29.241005
4483.0,"Disney / Vero Beach, Indian River County",Florida,USA,"(27.6386434, -80.39727359999999)",27.6386434,27.6386434
4486.0,"Gulf Shores Beach, Baldwin County",Alabama,USA,"(30.2493721, -87.6812626)",30.2493721,30.2493721
4503.0,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4504.0,"North of Apache Pier, Myrtle Beach, Horry County",South Carolina ,USA,"(33.7628505, -78.78101989999999)",33.7628505,33.7628505
4509.0,"Lifeguard Tower 16, Huntington Beach",California,USA,"(33.660297, -117.9992265)",33.660297,33.660297
4514.0,"Limantour Beach, Point Reyes National Seashore",California,USA,"(36.778261, -119.4179324)",36.778261,36.778261
4521.0,"Bunkers, Humboldt Bay, Eureka, Humboldt County",California,USA,"(40.8020712, -124.1636729)",40.8020712,40.8020712
4534.0,"Rocky Point, north shore of O'ahu",Hawaii,USA,"(21.4389123, -158.0000565)",21.4389123,21.4389123
4540.0,"Albuquerue Aquarium, Albuquerue",New Mexico,USA,"(35.0919917, -106.6801938)",35.0919917,35.0919917
4548.0,"Central Gulf Coast, St. John County",Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
4554.0,"Noreiga's, Maui",Hawaii,USA,"(20.7983626, -156.3319253)",20.7983626,20.7983626
4555.0,Off Sullivans Island,South Carolina,USA,"(32.7621211, -79.8373067)",32.7621211,32.7621211
4560.0,"Sand Key Beach, Clearwater, Pinellas County",Florida,USA,"(27.955832, -82.826698)",27.955832,27.955832
4564.0,"Surf City, Long Beach Island",New Jersey,USA,"(39.641727, -74.1885825)",39.641727,39.641727
4567.0,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4572.0,"Cape San Blas, Gulf County",Florida,USA,"(29.6635469, -85.3554745)",29.6635469,29.6635469
4579.0,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Florida,USA,"(29.0279842, -81.0754657)",29.0279842,29.0279842
4581.0,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
4584.0,"Carolina Beach off Texas Avenue, New Hanover County",North Carolina,USA,"(34.2154913, -77.88245959999999)",34.2154913,34.2154913
4586.0,Crystal Beach (east of Galveston),Texas,USA,"(29.3622837, -94.77934239999999)",29.3622837,29.3622837
4589.0,"Scripps, LaJolla, San Diego County",California,USA,"(32.8650371, -117.2541894)",32.8650371,32.8650371
4598.0,"Tigertail Beach, Collier County",Florida,USA,"(25.9500459, -81.7419149)",25.9500459,25.9500459
4608.0,"Salmon Beach, Sonoma County",California,USA,"(38.3393611, -123.0680577)",38.3393611,38.3393611
4609.0,Klamath River mouth,California,USA,"(36.778261, -119.4179324)",36.778261,36.778261
4614.0,"Mavericks, Half Moon Bay, San Mateo County",California,USA,"(37.5127433, -122.4964562)",37.5127433,37.5127433
4624.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4625.0,"Cape San Blas, Gulf County",Florida,USA,"(29.6635469, -85.3554745)",29.6635469,29.6635469
4640.0,"Off Pu'u Ola'l, Makena, Maui",Hawaii,USA,"(20.65884, -156.437698)",20.65884,20.65884
4651.0,"Leftovers, near Waimea Bay, O'ahu",Hawaii,USA,"(21.4389123, -158.0000565)",21.4389123,21.4389123
4659.0,"Sebastian Inlet, Brevard County",Florida,USA,"(27.862551, -80.4484896)",27.862551,27.862551
4660.0,"Alligator Reef off Islamorada, Monroe County",Florida,USA,"(24.9242943, -80.62783639999999)",24.9242943,24.9242943
4667.0,"North Shore, O'ahu",Hawaii,USA,"(21.5616575, -158.0715983)",21.5616575,21.5616575
4668.0,French Frigate Shoals,550 miles from Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
4671.0,"Coligny Beach, Hilton Head, Beaufort County",South Carolina,USA,"(32.1411347, -80.75191389999999)",32.1411347,32.1411347
4681.0,"Playalinda Beach, Canaveral National Seashore, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4682.0,"Debordieu Beach, Georgetown County",South Carolina,USA,"(33.3156764, -79.3233151)",33.3156764,33.3156764
4690.0,"Sargent Beach, Matagorda County",Texas,USA,"(28.8204837, -95.9832577)",28.8204837,28.8204837
4693.0,"Playalinda Beach, Canaveral National Seashore, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4695.0,Oswald State Park,Oregon,USA,"(45.769811, -123.9590931)",45.769811,45.769811
4714.0,"Off Key Largo, Monroe County",Florida,USA,"(25.0865151, -80.4472802)",25.0865151,25.0865151
4723.0,"Siletz River mouth, Lincoln County",Oregon,USA,"(44.609549, -123.942359)",44.609549,44.609549
4732.0,"Majors Bay, Kaua'i",Hawaii,USA,"(22.0101319, -159.776982)",22.0101319,22.0101319
4733.0,"Smith Point, Long Island",New York,USA,"(40.8521095, -72.9490754)",40.8521095,40.8521095
4744.0,"Tiger Shores Beach, Martin County",Florida,USA,"(27.0804935, -80.4103957)",27.0804935,27.0804935
4750.0,"Waveland Beach, Hutchinson Island, St. Lucie County",Florida,USA,"(27.275367, -80.20625000000001)",27.275367,27.275367
4751.0,"Normandy Beach, Hutchinson Island,  St. Lucie County",Florida,USA,"(27.2946028, -80.21643159999999)",27.2946028,27.2946028
4771.0,"Turtle Beach, Siesta Key, Sarasota County",Florida,USA,"(27.218954, -82.514972)",27.218954,27.218954
4773.0,"Silva's Channel, Mokuleia, O'ahu",Hawaii,USA,"(21.576681, -158.2065642)",21.576681,21.576681
4781.0,Faria Beach,California,USA,"(34.3249762, -119.3957112)",34.3249762,34.3249762
4785.0,"Bellows Beach near Wailea Point, O’ahu",Hawaii,USA,"(21.4389123, -158.0000565)",21.4389123,21.4389123
4793.0,"Ponce Inlet,  New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4796.0,"Lakewood Campground, Grand Strand, Horry County",South Carolina,USA,"(33.811668, -78.72389199999999)",33.811668,33.811668
4798.0,"Islamorada Founder's Park, Plantation Key, Monroe County",Florida,USA,"(24.9712419, -80.59561769999999)",24.9712419,24.9712419
4799.0,"Indian River Inlet, Rehoboth Beach",Delaware,USA,"(38.6088246, -75.063754)",38.6088246,38.6088246
4809.0,"Pepper Park Beach, St. Lucie County",Florida,USA,"(27.3225563, -80.54384499999999)",27.3225563,27.3225563
4823.0,"Playalinda Beach, Canaveral National Seashore, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4844.0,"Off Fort Pierce, St. Lucie County",Florida,USA,"(27.3838141, -80.39102729999999)",27.3838141,27.3838141
4845.0,"Playalinda Beach, Canaveral National Seashore, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4850.0,"Opposite Patrick Air Force Base, Brevard County",Florida,USA,"(28.2394645, -80.60751719999999)",28.2394645,28.2394645
4857.0,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4858.0,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4860.0,"Near Cocoa Beach, Brevard  County",Florida,USA,"(28.3200067, -80.6075513)",28.3200067,28.3200067
4861.0,"New Smyrna Beach / Ponce Inlet, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4863.0,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4865.0,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Florida,USA,"(29.0258191, -80.9269984)",29.0258191,29.0258191
4867.0,"Playalinda Beach, Canaveral National Seashore, Brevard County",Florida,USA,"(28.263933, -80.7214417)",28.263933,28.263933
4887.0,"Hammocks Beach State Park, Bear Island, Onslow County",North Carolina,USA,"(34.6318297, -77.1488396)",34.6318297,34.6318297
4889.0,Cherry Grove,South Carolina,USA,"(33.8273947, -78.6427922)",33.8273947,33.8273947
4894.0,"West Cove, Catalina Island",California,USA,"(38.542978, -121.5614432)",38.542978,38.542978
4911.0,"Surf City, Topsail Island, Pender County",North Carolina,USA,"(34.40551360000001, -77.578097)",34.40551360000001,34.40551360000001
4924.0,"Surf City, Topsail Island, Pender County",North Carolina,USA,"(34.40551360000001, -77.578097)",34.40551360000001,34.40551360000001
4929.0,"McKenzie Beach Park in Pahoa, Hawai'i ",Hawaii,USA,"(19.4975033, -154.9508104)",19.4975033,19.4975033
4932.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4933.0,"Ponce Inlet, New Smyrna Beach, Volusia County",Florida,USA,"(29.08501399999999, -80.93225699999999)",29.08501399999999,29.08501399999999
4935.0,"Surf Beach, Lompoc, Santa Barbara County",California,USA,"(34.6826025, -120.6063256)",34.6826025,34.6826025
4993.0,Alenuihaha Channel,Hawaii,USA,"(20.6333333, -156.0416667)",20.6333333,20.6333333
5007.0,"Carlin Park, Jupiter Inlet",Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
5032.0,"Intracoastal Waterway,      St. Petersburg",Florida,USA,"(27.773056, -82.64)",27.773056,27.773056
5039.0,"Curlew Island, Breton Sound",Louisiana,USA,"(30.9842977, -91.96233269999999)",30.9842977,30.9842977
5040.0,Kawa'a ,Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
5043.0,"Terramar Beach, Carlsbad",California,USA,"(33.1580933, -117.3505939)",33.1580933,33.1580933
5069.0,"Loch Lomond, Marin County",California,USA,"(37.9738704, -122.4819777)",37.9738704,37.9738704
5070.0,"Lori Wilson Park, Cocoa Beach, Brevard County",Florida,USA,"(28.3365435, -80.6084072)",28.3365435,28.3365435
5084.0,Elliot Key,Florida,USA,"(25.4396585, -80.2000596)",25.4396585,25.4396585
5109.0,Hanalei Bay,Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
5115.0,Off Tarpon Springs,Florida,USA,"(28.1461248, -82.7567679)",28.1461248,28.1461248
5122.0,"Eight Mile Beach, Galveston",Texas,USA,"(29.2914305, -94.7866075)",29.2914305,29.2914305
5123.0,"Dog Patch, San Onofre",California,USA,"(36.778261, -119.4179324)",36.778261,36.778261
5125.0,Off Long Island,New York,USA,"(40.6911684, -73.98085139999999)",40.6911684,40.6911684
5136.0,"Near oil rig Hondo, 5 nm from Gaviota",California,USA,"(34.4716558, -120.2148716)",34.4716558,34.4716558
5139.0,"Figure Eight Island, Wilmington, New Hanover County",North Carolina,USA,"(34.2693745, -77.7444928)",34.2693745,34.2693745
5155.0,Sandridge Beach,Virginia,USA,"(36.745984, -75.9440944)",36.745984,36.745984
5162.0,"Surf Beach, Vandenberg AFB",California,USA,"(34.6826025, -120.6063256)",34.6826025,34.6826025
5164.0,"Burnt Cove near Eastport, Washington County",Maine,USA,"(44.9061906, -66.98997849999999)",44.9061906,44.9061906
5171.0,Palmyra Atoll,USA Territory,USA,"(5.8885026, -162.0786656)",5.8885026,5.8885026
5180.0,"Tavares Bay, Maui",Hawaii,USA,"(20.7983626, -156.3319253)",20.7983626,20.7983626
5219.0,"Lyman Beach, Kailua-Kona",Hawaii,USA,"(19.639994, -155.9969261)",19.639994,19.639994
5220.0,"Lyman Beach, Kailua-Kona",Hawaii,USA,"(19.639994, -155.9969261)",19.639994,19.639994
5222.0,"Follett's Island, Brazoria County",Texas,USA,"(29.110022, -95.462082)",29.110022,29.110022
5227.0,"Off Jupiter Inlet, Palm Beach County",Florida,USA,"(26.6514503, -80.2767327)",26.6514503,26.6514503
5241.0,"Sunday Beach, Matagorda Island, Calhoun  County",Texas,USA,"(28.1688928, -96.7386946)",28.1688928,28.1688928
5247.0,"Egg Harbor, Atlantic County",New Jersey,USA,"(39.3822537, -74.6166192)",39.3822537,39.3822537
5251.0,Beaufort Inlet,North Carolina,USA,"(34.7179558, -76.68872259999999)",34.7179558,34.7179558
5262.0,"Buxton Beach, Dare County",North Carolina,USA,"(35.6549619, -75.62080879999999)",35.6549619,35.6549619
